@relation pola_csv

@attribute H numeric
@attribute G numeric
@attribute Epoch {K161D,K15CO,K1642}
@attribute M numeric
@attribute Peri. numeric
@attribute Node numeric
@attribute Incl. numeric
@attribute e numeric
@attribute n numeric
@attribute a numeric
@attribute #Obs numeric
@attribute #Opp numeric
@attribute rms numeric
@attribute Per {M-v,M-h,M-c,M-N}
@attribute ts {3Eh,8.0,38h,08h}
@attribute Hazard {T,F}

@data
-0.645682,0.15,K161D,-0.387436,-1.099324,0.031619,-0.978517,0.252846,0.624176,-0.7008,5.416331,1.353601,0.47,M-v,3Eh,T
-2.392551,0.15,K161D,0.982732,-1.689996,-1.474101,2.684318,0.507564,0.329336,0.490433,2.929693,2.801303,0.41,M-h,3Eh,T
-1.700396,0.15,K161D,-0.467448,0.395598,0.152436,-0.272654,0.886275,0.468649,-0.228947,1.919794,4.249005,0.45,M-h,3Eh,T
-1.898154,0.15,K161D,0.856952,1.146536,-0.391858,2.564685,0.528659,0.431133,-0.073746,1.800702,3.163228,0.49,M-h,3Eh,T
-2.293672,0.15,K161D,0.19301,-1.450101,0.522203,-0.364048,0.576032,0.316342,0.583803,2.462853,3.887079,0.43,M-h,3Eh,T
-1.502637,0.15,K161D,0.238292,1.205607,1.09619,0.51997,0.280141,0.718525,-0.901572,3.553734,3.163228,0.44,M-v,3Eh,T
-1.140079,0.15,K161D,-0.454634,0.496121,1.488307,-0.458442,0.492018,0.446552,-0.140162,3.467988,2.801303,0.4,M-h,3Eh,T
-1.898154,0.15,K161D,0.252191,-1.154152,1.076609,-0.215361,0.507341,0.386365,0.143756,1.619683,3.887079,0.45,M-h,3Eh,T
-0.97528,0.15,K161D,0.871979,-0.528464,0.304096,-0.853582,0.191197,1.113034,-1.417949,20.68867,2.801303,0.33,M-v,3Eh,T
-1.436717,0.15,K161D,-0.253731,-1.369148,1.305982,-0.903958,0.624061,0.22851,1.437544,2.162741,1.715527,0.43,M-v,3Eh,T
-0.94232,0.15,K161D,1.445598,0.838276,-0.594548,-0.727885,0.610948,0.476199,-0.257701,0.362073,2.439377,0.57,M-v,3Eh,T
-0.414964,0.15,K161D,0.013533,-1.107244,-1.646852,-0.616596,0.203692,0.824918,-1.081032,2.153214,0.267825,0.44,M-v,3Eh,T
-1.766315,0.15,K161D,-0.632946,-0.744794,-0.540608,2.232033,0.581651,0.393718,0.105213,1.753065,1.353601,0.42,M-h,3Eh,T
-2.326632,0.15,K161D,-0.303933,-1.678213,1.326836,2.538558,0.439577,0.424448,-0.043708,1.991249,2.801303,0.46,M-h,3Eh,T
-1.469677,0.15,K161D,-1.298844,-1.505571,0.925231,-0.735291,0.416951,0.470247,-0.235096,2.38187,3.887079,0.49,M-v,3Eh,T
-1.766315,0.15,K161D,0.049715,0.642408,-0.707806,-1.019367,0.39497,0.499431,-0.341606,1.872157,3.525154,0.47,M-h,3Eh,T
-1.337838,0.15,K161D,-1.153749,-0.327278,-1.181869,-0.181067,0.478385,0.427358,-0.056882,0.571674,2.801303,0.53,M-h,3Eh,T
-1.469677,0.15,K161D,0.916355,-0.805819,-0.59716,-0.462823,0.578312,0.541186,-0.477152,0.976587,2.801303,0.47,M-h,3Eh,T
-1.403757,0.15,K161D,0.098438,0.835263,1.367621,2.353978,0.562118,0.559434,-0.531052,0.262035,1.715527,0.47,M-h,3Eh,T
-1.337838,0.15,K161D,-0.26608,0.38812,1.611052,-0.357414,0.550036,0.376434,0.197792,0.933713,2.077452,0.44,M-h,3Eh,T
-1.370798,0.15,K161D,-1.428707,-0.877158,-0.150332,-0.659346,0.600098,0.417489,-0.011587,2.434271,2.801303,0.49,M-h,3Eh,T
-2.293672,0.15,K161D,-1.39024,-0.188975,1.693241,2.289069,0.610389,0.257356,1.10384,1.000405,2.077452,0.46,M-h,3Eh,T
-1.667436,0.15,K161D,1.53324,0.157628,-0.163238,1.173725,0.533066,1.830541,-1.848206,1.157606,3.887079,0.58,M-h,3Eh,T
-0.612722,0.15,K161D,-0.171182,0.957567,-1.419202,-0.686399,0.29318,0.979143,-1.281988,3.058312,5.334781,0.63,M-v,3Eh,T
-1.00824,0.15,K161D,-1.050713,-0.378728,1.321111,-0.955366,0.318776,0.810024,-1.058289,0.55262,2.439377,0.52,M-h,3Eh,T
-1.799275,0.15,K161D,-1.129785,-0.002333,0.520854,-0.600505,0.565298,0.271682,0.960327,3.325078,2.077452,0.41,M-h,3Eh,T
-1.0412,0.15,K161D,1.513835,-0.436948,1.499921,-0.103624,0.607255,0.323114,0.534359,0.304908,1.715527,0.51,M-v,3Eh,T
-1.238958,0.15,K161D,1.710906,0.868404,1.747454,-0.452968,0.333497,0.936613,-1.232105,4.66367,2.801303,0.43,M-h,3Eh,T
-1.370798,0.15,K161D,1.198053,-1.712132,0.008587,1.139294,0.452431,0.388741,0.131167,0.385891,2.077452,0.47,M-h,3Eh,T
-1.832235,0.15,K161D,-0.505724,1.142512,-0.831673,-0.637575,0.865978,0.228509,1.437561,1.533936,1.353601,0.45,M-h,3Eh,T
-1.238958,0.15,K161D,-0.419178,1.504105,-0.862771,-0.32911,0.311199,0.58074,-0.590389,1.038514,1.715527,0.42,M-h,3Eh,T
-1.238958,0.15,K161D,-1.486856,-1.447913,0.236849,-0.719989,0.56873,0.401277,0.066819,0.671711,2.077452,0.4,M-h,3Eh,T
-1.271918,0.15,K161D,0.577999,-1.334724,-0.441751,-0.925227,0.460921,0.630316,-0.715381,0.74793,2.439377,0.44,M-h,3Eh,T
-1.799275,0.15,K161D,-0.711936,0.424553,1.779757,3.519525,0.50758,0.413573,0.006879,0.504983,2.439377,0.51,M-h,3Eh,T
-1.140079,0.15,K161D,0.212001,-1.444788,1.38713,-0.905407,0.579372,0.52194,-0.416923,0.290617,2.439377,0.44,M-h,3Eh,T
