Des'n	H	G	Epoch	M	Peri.	Node	Incl.	e	n	a	#Obs	#Opp	rms	Per	ts
d	c	c	d	c	c	c	c	c	c	c	c	c	c	d	d
K07F03	T 20.0	0.15	K161D	76.23424	277.57983	9.79704	26.72835	0.3057436	0.8263795	1.1246473	14	1	0.4	M-v	3Eh
K07G03	Q 22.0	0.15	K161D	203.59415	209.62164	34.52471	10.19038	0.4499237	0.40659485	1.804519	175	1	1.05	M-v	3Eh
K07G03	S 19.4	0.15	K161D	300.81088	61.185	215.44585	15.08956	0.1290092	0.9016709	1.0611351	149	2	0.45	M-v	3Eh
K07H00	A 20.3	0.15	K161D	49.9597	133.14853	205.80909	32.98338	0.4703226	1.16880102	0.8925701	455	3	0.72	M-v	3Eh
K07H15	E 19.7	0.15	K161D	258.44941	342.24951	297.76225	9.54341	0.5404035	0.31372439	2.1450489	148	2	0.49	M-v	3Eh
K07J02	Y 21.7	0.15	K161D	212.17386	106.99145	224.01175	1.60393	0.6870417	0.30088484	2.2056462	72	1	0.52	M-v	3Eh
K07J22	H 21.7	0.15	K161D	262.44183	22.73825	150.93227	5.56706	0.6067005	0.30577839	2.1820508	76	1	0.47	M-v	3Eh
K07K07	G 20.6	0.15	K161D	202.73919	318.37238	66.18957	4.7408	0.8669304	0.41603301	1.7771231	30	1	0.41	M-v	3Eh
K07L00	E 19.7	0.15	K161D	179.11456	120.13437	73.74612	29.5195	0.5168214	0.39522541	1.8389622	351	3	0.36	M-v	3Eh
K07L00	F 20.5	0.15	K161D	354.51847	333.70106	239.47285	6.98528	0.4198772	0.45157524	1.6826068	300	2	0.35	M-v	3Eh
K07L15	B 19.3	0.15	K161D	258.74239	237.34423	262.81904	25.19277	0.3952604	1.08426351	0.9383816	124	3	0.45	M-v	3Eh
K07L19	U 21.5	0.15	K161D	134.30901	142.54984	64.01916	2.60571	0.6236267	0.26875097	2.3781324	28	1	0.43	M-v	3Eh
K07M24	L 19.2	0.15	K161D	194.47051	201.46144	281.88969	33.43715	0.358726	1.49203514	0.7584903	17	1	0.37	M-v	3Eh
